country,Year,Predicted_URBAN_SDG_7_1_1,Correction_Factor,Corrected_Predicted_URBAN_SDG_7_1_1
Afghanistan,2022,102.4563636363636,-0.3070454545454506,102.14177602892559
Afghanistan,2023,103.7890909090909,-0.5412987012987003,103.22728190791027
Afghanistan,2024,105.1218181818182,-0.8536363636363665,104.2244601157025
Afghanistan,2025,106.4545454545454,-1.2909090909090792,105.08031404958673
Afghanistan,2026,107.7872727272727,-1.9468181818181733,105.6888505041322
Afghanistan,2027,109.12,-3.0400000000000014,105.802752
Afghanistan,2028,110.4527272727273,-5.226363636363651,104.68006609917356
Afghanistan,2029,111.7854545454545,-11.785454545454499,98.61103061157026
Afghanistan,2030,113.1181818181818,0.0,86.98927242203942
Angola,2022,104.5945454545454,-0.5743181818181746,103.99383996280987
Angola,2023,107.6145454545454,-1.087792207792199,106.44392281463985
Angola,2024,110.6345454545454,-1.7724242424242338,108.67363195041318
Angola,2025,113.6545454545454,-2.73090909090908,110.55074314049583
Angola,2026,116.6745454545454,-4.168636363636349,111.8108079256198
Angola,2027,119.6945454545454,-6.5648484848484685,111.83677990082641
Angola,2028,122.7145454545454,-11.3572727272727,108.77751985123966
Angola,2029,125.7345454545454,-25.734545454545398,93.37733170247937
Angola,2030,128.7545454545455,0.0,69.34709983126318
Bangladesh,2022,97.89454545454545,0.2631818181818186,98.15218609917355
Bangladesh,2023,98.85090909090908,0.16415584415584508,99.013178635183
Bangladesh,2024,99.80727272727273,0.03212121212121133,99.83933203305786
Bangladesh,2025,100.7636363636364,-0.15272727272727876,100.60974280991738
Bangladesh,2026,101.72,-0.4299999999999997,101.28260399999999
Bangladesh,2027,102.6763636363636,-0.8921212121212013,101.7603660165289
Bangladesh,2028,103.6327272727273,-1.816363636363647,101.75038009917357
Bangladesh,2029,104.5890909090909,-4.589090909090899,99.78940244628099
Bangladesh,2030,105.5454545454545,0.0,95.20997605038258
Belize,2022,99.2009090909091,0.09988636363636338,99.29999727169421
Belize,2023,99.37636363636365,0.08909090909090724,99.46489894214878
Belize,2024,99.55181818181819,0.07469696969696808,99.62618037327825
Belize,2025,99.72727272727273,0.05454545454545325,99.7816694214876
Belize,2026,99.90272727272728,0.024318181818181017,99.92702179958678
Belize,2027,100.0781818181818,-0.026060606060601305,100.05210083746556
Belize,2028,100.2536363636364,-0.12681818181820148,100.12649652479341
Belize,2029,100.4290909090909,-0.42909090909090253,99.99815880991736
Belize,2030,100.6045454545455,0.0,99.56907580120571
Benin,2022,75.38909090909091,3.076363636363636,77.70833348760331
Benin,2023,76.69272727272727,3.3296103896103904,79.24629628807556
Benin,2024,77.99636363636364,3.6672727272727266,80.85670300826446
Benin,2025,79.30000000000001,4.139999999999998,82.58302
Benin,2026,80.60363636363637,4.849090909090908,84.51217996694216
Benin,2027,81.90727272727273,6.030909090909091,86.84702588429752
Benin,2028,83.2109090909091,8.394545454545451,90.19608667768595
Benin,2029,84.51454545454546,15.485454545454544,97.6020069752066
Benin,2030,85.81818181818181,0.0,112.7161214008036
Botswana,2022,100.0981818181818,-0.012272727272724993,100.0858970413223
Botswana,2023,102.9472727272727,-0.4210389610389577,102.51382459976385
Botswana,2024,105.7963636363636,-0.9660606060605991,104.77430664462807
Botswana,2025,108.6454545454545,-1.7290909090908997,106.76687586776856
Botswana,2026,111.4945454545455,-2.8736363636363755,108.2905976528926
Botswana,2027,114.3436363636364,-4.7812121212121355,108.87662456198349
Botswana,2028,117.1927272727273,-8.596363636363648,107.11841428099174
Botswana,2029,120.0418181818182,-20.0418181818182,95.98325523966942
Botswana,2030,122.8909090909091,0.0,76.74646573954438
Bulgaria,2022,100.0918181818182,-0.011477272727274723,100.08033037086778
Bulgaria,2023,100.4309090909091,-0.061558441558442416,100.36908538842975
Bulgaria,2024,100.77,-0.12833333333333266,100.64067849999999
Bulgaria,2025,101.1090909090909,-0.22181818181817903,100.88481256198347
Bulgaria,2026,101.4481818181818,-0.36204545454544856,101.08089328719007
Bulgaria,2027,101.7872727272728,-0.5957575757576024,101.18086733884303
Bulgaria,2028,102.1263636363636,-1.0631818181818034,101.04057470661155
Bulgaria,2029,102.4654545454546,-2.4654545454546053,99.93921533884297
Bulgaria,2030,102.8045454545455,0.0,97.4752594115798
Burkina Faso,2022,56.16454545454544,5.47943181818182,59.24204342871899
Burkina Faso,2023,56.76727272727271,6.176103896103898,60.273278469893725
Burkina Faso,2024,57.36999999999998,7.105000000000003,61.44613849999998
Burkina Faso,2025,57.97272727272725,8.40545454545455,62.84559851239667
Burkina Faso,2026,58.57545454545453,10.356136363636368,64.64160849380164
Burkina Faso,2027,59.1781818181818,13.607272727272735,67.23071841322312
Burkina Faso,2028,59.78090909090908,20.10954545454546,71.80257817768594
Burkina Faso,2029,60.38363636363635,39.61636363636365,84.30543732231403
Burkina Faso,2030,60.98636363636362,0.0,117.7041859371486
Burundi,2022,45.93727272727273,6.757840909090909,49.041640536157026
Burundi,2023,45.74909090909091,7.75012987012987,49.29470486894923
Burundi,2024,45.56090909090909,9.073181818181817,49.694733210743806
Burundi,2025,45.37272727272727,10.925454545454546,50.32990396694214
Burundi,2026,45.18454545454546,13.703863636363636,51.37657394834711
Burundi,2027,44.99636363636363,18.334545454545456,53.246242380165285
Burundi,2028,44.80818181818182,27.59590909090909,57.173406938016534
Burundi,2029,44.62,55.38,69.330556
Burundi,2030,44.43181818181818,0.0,107.72581791280001
Cabo Verde,2022,98.07545454545455,0.24056818181818151,98.31139288326446
Cabo Verde,2023,98.84727272727272,0.16467532467532514,99.01004979456907
